216.212.255.160.17197 > 177.2.57.118.6881: length=710, pkts=15, dt=31.207
177.2.57.118.38934 > 76.178.180.236.14203: length=68, pkts=7, dt=27.932
177.2.57.118.37236 > 34.203.130.163.443: length=446, pkts=13, dt=6.247
177.2.57.118.53286 > 185.184.10.30.443: length=4734, pkts=15, dt=7.796
94.100.29.253.49821 > 177.2.57.118.6881: length=1285, pkts=17, dt=32.654
177.2.57.118.55542 > 177.82.241.230.62613: length=68, pkts=4, dt=0.350
192.114.43.2.53798 > 177.2.57.118.6881: length=474, pkts=10, dt=6.947
177.2.57.118.48640 > 98.136.96.145.443: length=4956, pkts=18, dt=6.749
177.2.57.118.41291 > 60.240.158.242.37096: length=68, pkts=6, dt=28.623
173.244.48.11.50933 > 177.2.57.118.6881: length=1038, pkts=11, dt=3.352
121.6.209.47.64870 > 177.2.57.118.6881: length=1417, pkts=19, dt=30.265
177.2.57.118.43086 > 216.58.202.14.80: length=1224, pkts=9, dt=0.906
2.29.53.194.53595 > 177.2.57.118.6881: length=890, pkts=17, dt=16.550
177.2.57.118.38678 > 66.218.85.146.443: length=7180, pkts=18, dt=0.583
177.2.57.118.53630 > 41.182.39.108.16032: length=3114, pkts=18, dt=22.656
37.228.228.165.39952 > 177.2.57.118.6881: length=1484, pkts=28, dt=7.940
177.2.57.118.56365 > 196.210.14.69.33586: length=816, pkts=10, dt=4.092
177.2.57.118.41809 > 189.172.12.122.26394: length=971, pkts=7, dt=1.920
177.2.57.118.49664 > 173.85.154.173.23130: length=68, pkts=5, dt=26.847
177.2.57.118.38924 > 196.210.14.69.33586: length=136, pkts=7, dt=25.947
177.2.57.118.55024 > 45.117.37.64.59626: length=2672, pkts=17, dt=4.971
177.2.57.118.46221 > 80.177.208.237.51413: length=68, pkts=6, dt=4.646
79.97.203.47.50036 > 177.2.57.118.6881: length=1806, pkts=19, dt=5.468
179.222.85.222.56442 > 177.2.57.118.6881: length=1327, pkts=16, dt=30.297
82.61.47.12.50738 > 177.2.57.118.6881: length=1951, pkts=16, dt=7.622
24.9.8.41.40927 > 177.2.57.118.6881: length=1624, pkts=22, dt=7.324
108.44.187.209.61261 > 177.2.57.118.6881: length=919, pkts=18, dt=33.204
177.2.57.118.56213 > 221.194.6.196.12879: length=2141, pkts=14, dt=19.037
177.2.57.118.58427 > 108.21.214.240.53274: length=1090, pkts=12, dt=2.781
177.2.57.118.60044 > 197.89.231.108.51413: length=155, pkts=8, dt=11.899
177.2.57.118.52148 > 107.170.125.222.443: length=1253, pkts=11, dt=5.422
176.78.166.117.58687 > 177.2.57.118.6881: length=1148, pkts=26, dt=4.018
177.2.57.118.47385 > 103.1.138.196.9048: length=197, pkts=5, dt=1.848
90.89.187.189.52424 > 177.2.57.118.6881: length=1722, pkts=18, dt=30.253
79.30.120.174.61966 > 177.2.57.118.6881: length=0, pkts=3, dt=30.389
177.2.57.118.52146 > 107.170.125.222.443: length=736, pkts=10, dt=5.425
177.2.57.118.52144 > 107.170.125.222.443: length=736, pkts=10, dt=5.426
177.2.57.118.52140 > 107.170.125.222.443: length=736, pkts=10, dt=5.439
177.2.57.118.46986 > 45.117.37.64.59626: length=68, pkts=6, dt=13.565
81.66.62.216.59829 > 177.2.57.118.6881: length=1531, pkts=20, dt=30.658
177.2.57.118.39188 > 190.193.61.130.53310: length=136, pkts=6, dt=4.452
216.212.255.160.16970 > 177.2.57.118.6881: length=956, pkts=17, dt=31.488
192.114.43.2.53708 > 177.2.57.118.6881: length=481, pkts=11, dt=2.530
196.52.39.16.58979 > 177.2.57.118.6881: length=68, pkts=5, dt=0.463
177.2.57.118.40495 > 108.21.214.240.53274: length=68, pkts=5, dt=26.626
177.2.57.118.36129 > 181.31.129.131.51413: length=68, pkts=5, dt=24.858
187.163.80.164.58313 > 177.2.57.118.6881: length=1560, pkts=16, dt=30.773
177.41.34.122.49772 > 177.2.57.118.6881: length=2065, pkts=19, dt=2.637
177.2.57.118.46889 > 188.218.110.132.43611: length=961, pkts=13, dt=2.340
177.2.57.118.33716 > 69.143.158.60.47160: length=633, pkts=13, dt=2.343
177.2.57.118.59735 > 94.69.87.235.30239: length=2291, pkts=18, dt=9.754
177.2.57.118.52150 > 107.170.125.222.443: length=1579, pkts=10, dt=2.488
119.94.58.158.58444 > 177.2.57.118.6881: length=514, pkts=12, dt=3.534
177.2.57.118.43040 > 216.58.202.14.80: length=998, pkts=7, dt=0.223
176.223.14.21.49016 > 177.2.57.118.6881: length=345, pkts=10, dt=2.016
177.2.57.118.52134 > 107.170.125.222.443: length=517, pkts=4, dt=0.244
189.100.103.207.56463 > 177.2.57.118.6881: length=1402, pkts=18, dt=31.369
191.254.218.230.63134 > 177.2.57.118.6881: length=754, pkts=14, dt=5.958
177.2.57.118.42298 > 195.97.110.210.61137: length=2160, pkts=20, dt=10.895
177.2.57.118.42065 > 190.193.61.130.53310: length=1136, pkts=7, dt=6.268
177.2.57.118.52126 > 107.170.125.222.443: length=517, pkts=4, dt=0.248
177.2.57.118.52130 > 107.170.125.222.443: length=517, pkts=4, dt=0.246
105.232.255.253.24282 > 177.2.57.118.6881: length=640, pkts=17, dt=3.448
177.2.57.118.52128 > 107.170.125.222.443: length=517, pkts=4, dt=0.247
177.2.57.118.52132 > 107.170.125.222.443: length=517, pkts=4, dt=0.245
181.28.91.142.59288 > 177.2.57.118.6881: length=2565, pkts=22, dt=30.590
24.9.8.41.48176 > 177.2.57.118.6881: length=1271, pkts=20, dt=7.344
201.17.17.84.17463 > 177.2.57.118.6881: length=1678, pkts=19, dt=11.328
80.12.39.157.40462 > 177.2.57.118.6881: length=930, pkts=15, dt=30.245
154.118.72.164.51911 > 177.2.57.118.6881: length=1767, pkts=18, dt=30.614
177.2.57.118.42264 > 95.150.128.48.8203: length=2541, pkts=19, dt=21.648
177.2.57.118.35117 > 139.216.29.45.59105: length=2535, pkts=18, dt=8.949
177.2.57.118.51110 > 192.253.250.144.15193: length=2639, pkts=17, dt=8.433
177.2.57.118.51543 > 88.104.157.103.27148: length=68, pkts=5, dt=23.366
177.2.57.118.48417 > 192.249.128.93.21597: length=2501, pkts=17, dt=8.311
177.2.57.118.37357 > 93.173.182.14.17465: length=1523, pkts=22, dt=8.397
177.2.57.118.52439 > 185.21.216.198.52579: length=2380, pkts=16, dt=7.314
177.2.57.118.48388 > 188.250.148.98.63555: length=1350, pkts=15, dt=7.131
177.2.57.118.53501 > 83.252.111.30.8999: length=2588, pkts=15, dt=3.828
82.61.47.12.49342 > 177.2.57.118.6881: length=1914, pkts=19, dt=6.488
89.3.235.254.51782 > 177.2.57.118.6881: length=2162, pkts=16, dt=30.675
193.77.187.76.60731 > 177.2.57.118.6881: length=1329, pkts=15, dt=30.857
2.29.53.194.53329 > 177.2.57.118.6881: length=1212, pkts=18, dt=11.489
177.2.57.118.43009 > 201.146.183.243.63087: length=2104, pkts=18, dt=5.788
177.2.57.118.50822 > 23.241.172.11.59271: length=68, pkts=5, dt=26.274
177.2.57.118.51094 > 174.92.141.244.16838: length=68, pkts=5, dt=25.706
83.136.43.45.14656 > 177.2.57.118.6881: length=1388, pkts=18, dt=22.609
124.190.203.112.47714 > 177.2.57.118.6881: length=2503, pkts=25, dt=31.802
177.2.57.118.37070 > 89.141.203.193.26085: length=790, pkts=13, dt=5.136
177.2.57.118.54400 > 45.117.37.64.59626: length=674, pkts=13, dt=16.429
177.2.57.118.34742 > 216.58.202.3.80: length=1580, pkts=6, dt=0.221
177.2.57.118.42964 > 216.58.202.14.80: length=998, pkts=6, dt=0.197
188.250.15.181.57315 > 177.2.57.118.6881: length=710, pkts=12, dt=30.497
187.64.31.135.49370 > 177.2.57.118.6881: length=2059, pkts=16, dt=5.966
177.2.57.118.51002 > 139.192.110.8.36301: length=499, pkts=10, dt=2.519
177.2.57.118.56653 > 79.181.0.52.62348: length=2567, pkts=17, dt=3.300
177.2.57.118.45590 > 179.218.134.1.49724: length=68, pkts=6, dt=11.916
177.2.57.118.32998 > 51.37.241.162.19098: length=835, pkts=11, dt=2.621
24.9.8.41.39215 > 177.2.57.118.6881: length=1935, pkts=19, dt=6.510
177.2.57.118.37673 > 41.47.99.66.11731: length=1443, pkts=12, dt=2.219
177.2.57.118.34924 > 191.179.214.199.54320: length=68, pkts=4, dt=0.244
88.98.211.231.44857 > 177.2.57.118.6881: length=1903, pkts=17, dt=18.101
177.2.57.118.40298 > 80.6.148.13.10576: length=68, pkts=5, dt=27.559
90.44.4.232.57781 > 177.2.57.118.6881: length=930, pkts=15, dt=30.646
24.224.141.34.44788 > 177.2.57.118.6881: length=282, pkts=9, dt=1.766
177.2.57.118.33040 > 76.178.180.236.14203: length=1061, pkts=8, dt=2.066
173.183.84.66.64814 > 177.2.57.118.6881: length=68, pkts=5, dt=0.790
201.17.17.84.17777 > 177.2.57.118.6881: length=1334, pkts=17, dt=16.003
177.2.57.118.34072 > 110.23.203.244.38855: length=68, pkts=5, dt=28.570
185.37.27.177.7798 > 177.2.57.118.6881: length=0, pkts=4, dt=1.672
157.50.114.145.42977 > 177.2.57.118.6881: length=1611, pkts=16, dt=4.093
82.61.47.12.64157 > 177.2.57.118.6881: length=2456, pkts=20, dt=7.892
187.64.31.135.49357 > 177.2.57.118.6881: length=1701, pkts=18, dt=11.259
189.33.78.92.50916 > 177.2.57.118.6881: length=3883, pkts=78, dt=6.075
177.2.57.118.60350 > 177.41.89.130.53884: length=1736, pkts=14, dt=4.418
177.2.57.118.36478 > 173.85.154.173.23130: length=1284, pkts=10, dt=3.153
177.2.57.118.50711 > 2.85.242.131.26539: length=1546, pkts=16, dt=7.222
24.9.8.41.39670 > 177.2.57.118.6881: length=1341, pkts=18, dt=8.319
177.2.57.118.42956 > 216.58.202.14.80: length=998, pkts=7, dt=0.226
177.2.57.118.33591 > 142.118.60.215.24245: length=68, pkts=4, dt=0.225
177.2.57.118.59447 > 187.48.169.75.40805: length=68, pkts=4, dt=0.438
105.187.41.231.58560 > 177.2.57.118.6881: length=0, pkts=4, dt=1.789
177.2.57.118.45175 > 169.1.219.32.16497: length=1634, pkts=14, dt=4.942
192.114.43.2.53234 > 177.2.57.118.6881: length=479, pkts=15, dt=3.451
177.2.57.118.55945 > 196.210.14.69.33586: length=793, pkts=10, dt=4.050
177.2.57.118.34734 > 216.58.202.3.80: length=1580, pkts=6, dt=0.254
177.2.57.118.34086 > 197.89.231.108.51413: length=68, pkts=8, dt=4.371
177.2.57.118.47988 > 2.126.91.47.60214: length=1846, pkts=15, dt=4.295
177.2.57.118.44015 > 179.218.134.1.49724: length=731, pkts=13, dt=8.646
177.2.57.118.44470 > 24.135.23.192.54400: length=1970, pkts=14, dt=3.843
177.2.57.118.50739 > 103.1.138.196.9048: length=68, pkts=4, dt=0.877
90.231.117.181.50124 > 177.2.57.118.6881: length=753, pkts=8, dt=3.471
177.2.57.118.44616 > 108.21.214.240.53274: length=1381, pkts=14, dt=3.371
177.2.57.118.34304 > 103.1.138.196.9048: length=602, pkts=7, dt=1.839
179.222.85.222.55996 > 177.2.57.118.6881: length=1774, pkts=17, dt=11.356
176.63.25.229.47344 > 177.2.57.118.6881: length=1013, pkts=10, dt=2.583
177.2.57.118.38468 > 87.236.194.27.2710: length=431, pkts=7, dt=0.748
192.114.43.2.53104 > 177.2.57.118.6881: length=547, pkts=14, dt=2.999
177.2.57.118.34004 > 88.104.157.103.27148: length=1708, pkts=14, dt=6.631
177.2.57.118.34728 > 216.58.202.3.80: length=1580, pkts=7, dt=0.230
169.0.229.166.62128 > 177.2.57.118.6881: length=777, pkts=12, dt=4.937
177.2.57.118.42950 > 216.58.202.14.80: length=1111, pkts=10, dt=0.533
177.2.57.118.37333 > 187.48.169.75.40805: length=68, pkts=4, dt=0.340
187.64.31.135.49347 > 177.2.57.118.6881: length=2143, pkts=18, dt=5.972
177.2.57.118.45915 > 24.79.133.47.6881: length=2818, pkts=17, dt=4.965
24.9.8.41.43712 > 177.2.57.118.6881: length=1334, pkts=15, dt=6.955
177.2.57.118.42263 > 174.92.141.244.16838: length=1146, pkts=10, dt=4.292
177.2.57.118.51823 > 23.241.172.11.59271: length=531, pkts=11, dt=3.724
177.2.57.118.48370 > 65.48.150.176.23993: length=1003, pkts=10, dt=2.579
187.64.31.135.49337 > 177.2.57.118.6881: length=1703, pkts=16, dt=5.999
177.2.57.118.34720 > 216.58.202.3.80: length=1580, pkts=7, dt=0.255
177.2.57.118.42942 > 216.58.202.14.80: length=998, pkts=7, dt=0.200
90.90.29.45.34289 > 177.2.57.118.6881: length=681, pkts=11, dt=1.947
177.2.57.118.51818 > 80.6.148.13.10576: length=809, pkts=8, dt=2.439
177.2.57.118.34257 > 110.23.203.244.38855: length=570, pkts=9, dt=1.428
177.2.57.118.34048 > 69.6.24.14.51413: length=68, pkts=4, dt=0.473
Total de bytes: 325739
Total de comunicações: 258
Comunicações deste computador (177.2.57.118): 151
Comunicações de outros computadores: 107
